cuda:0
Files already downloaded and verified
Files already downloaded and verified
Let's use 2 GPUs!
Number of GPUS :2
Epoch 1 Training Accuracy: 8.282%
Epoch 2 Training Accuracy: 16.598%
Epoch 3 Training Accuracy: 22.11%
Epoch 4 Training Accuracy: 26.604%
Epoch 5 Training Accuracy: 31.144%
Epoch 6 Training Accuracy: 35.05%
Epoch 7 Training Accuracy: 38.84%
Epoch 8 Training Accuracy: 42.696%
Epoch 9 Training Accuracy: 46.734%
Epoch 10 Training Accuracy: 50.258%
Epoch 11 Training Accuracy: 53.648%
Epoch 12 Training Accuracy: 57.04%
Epoch 13 Training Accuracy: 60.988%
Epoch 14 Training Accuracy: 64.408%
Epoch 15 Training Accuracy: 67.602%
Epoch 16 Training Accuracy: 70.92%
Epoch 17 Training Accuracy: 74.306%
Epoch 18 Training Accuracy: 76.876%
Epoch 19 Training Accuracy: 79.172%
Epoch 20 Training Accuracy: 81.95%
Epoch 21 Training Accuracy: 83.824%
Epoch 22 Training Accuracy: 85.808%
Epoch 23 Training Accuracy: 87.206%
Epoch 24 Training Accuracy: 88.802%
Epoch 25 Training Accuracy: 90.106%
Epoch 26 Training Accuracy: 91.036%
Epoch 27 Training Accuracy: 92.24%
Epoch 28 Training Accuracy: 92.426%
Epoch 29 Training Accuracy: 93.658%
Epoch 30 Training Accuracy: 94.508%
Epoch 31 Training Accuracy: 95.25%
Epoch 32 Training Accuracy: 95.49%
Epoch 33 Training Accuracy: 95.526%
Epoch 34 Training Accuracy: 96.102%
Epoch 35 Training Accuracy: 96.07%
Epoch 36 Training Accuracy: 96.496%
Epoch 37 Training Accuracy: 96.296%
Epoch 38 Training Accuracy: 96.364%
Epoch 39 Training Accuracy: 96.588%
Epoch 40 Training Accuracy: 96.67%
Epoch 41 Training Accuracy: 97.362%
Epoch 42 Training Accuracy: 97.668%
Epoch 43 Training Accuracy: 97.842%
Epoch 44 Training Accuracy: 97.278%
Epoch 45 Training Accuracy: 97.414%
Epoch 46 Training Accuracy: 97.716%
Epoch 47 Training Accuracy: 97.21%
Epoch 48 Training Accuracy: 97.806%
Epoch 49 Training Accuracy: 97.778%
Epoch 50 Training Accuracy: 98.026%
Epoch 51 Training Accuracy: 98.076%
Epoch 52 Training Accuracy: 98.256%
Epoch 53 Training Accuracy: 98.354%
Epoch 54 Training Accuracy: 98.192%
Epoch 55 Training Accuracy: 98.304%
Epoch 56 Training Accuracy: 98.412%
Epoch 57 Training Accuracy: 98.588%
Epoch 58 Training Accuracy: 98.49%
Epoch 59 Training Accuracy: 98.608%
Epoch 60 Training Accuracy: 98.556%
Epoch 61 Training Accuracy: 98.57%
Epoch 62 Training Accuracy: 98.708%
Epoch 63 Training Accuracy: 98.758%
Epoch 64 Training Accuracy: 98.624%
Epoch 65 Training Accuracy: 98.344%
Epoch 66 Training Accuracy: 98.476%
Epoch 67 Training Accuracy: 98.346%
Epoch 68 Training Accuracy: 98.88%
Epoch 69 Training Accuracy: 99.09%
Epoch 70 Training Accuracy: 99.168%
Epoch 71 Training Accuracy: 98.636%
Epoch 72 Training Accuracy: 98.948%
Epoch 73 Training Accuracy: 98.924%
Epoch 74 Training Accuracy: 99.114%
Epoch 75 Training Accuracy: 99.306%
Epoch 76 Training Accuracy: 99.114%
Epoch 77 Training Accuracy: 99.182%
Epoch 78 Training Accuracy: 99.068%
Epoch 79 Training Accuracy: 99.144%
Epoch 80 Training Accuracy: 99.154%
Epoch 81 Training Accuracy: 99.118%
Epoch 82 Training Accuracy: 99.13%
Epoch 83 Training Accuracy: 99.04%
Epoch 84 Training Accuracy: 98.96%
Epoch 85 Training Accuracy: 99.226%
Epoch 86 Training Accuracy: 99.178%
Epoch 87 Training Accuracy: 99.044%
Epoch 88 Training Accuracy: 99.228%
Epoch 89 Training Accuracy: 99.454%
Epoch 90 Training Accuracy: 99.474%
Epoch 91 Training Accuracy: 99.548%
Epoch 92 Training Accuracy: 99.53%
Epoch 93 Training Accuracy: 99.576%
Epoch 94 Training Accuracy: 99.222%
Epoch 95 Training Accuracy: 99.39%
Epoch 96 Training Accuracy: 99.376%
Epoch 97 Training Accuracy: 99.474%
Epoch 98 Training Accuracy: 99.448%
Epoch 99 Training Accuracy: 99.348%
Epoch 100 Training Accuracy: 99.478%
Finished Training
Training Time : 7402.064283370972
Final Training Loss: 0.0181538022234631
Final Training Accuracy: 99.478%
Memory used for training: 2932711 Bytes
Saving the model as ResNet_CIFAR100_2GPUs.pth
