cuda:0
Files already downloaded and verified
Files already downloaded and verified
Epoch 1 Training Accuracy: 1.05%
Epoch 2 Training Accuracy: 1.022%
Epoch 3 Training Accuracy: 1.046%
Epoch 4 Training Accuracy: 1.182%
Epoch 5 Training Accuracy: 1.54%
Epoch 6 Training Accuracy: 2.052%
Epoch 7 Training Accuracy: 1.826%
Epoch 8 Training Accuracy: 2.19%
Epoch 9 Training Accuracy: 2.872%
Epoch 10 Training Accuracy: 5.488%
Epoch 11 Training Accuracy: 7.912%
Epoch 12 Training Accuracy: 10.184%
Epoch 13 Training Accuracy: 11.942%
Epoch 14 Training Accuracy: 13.166%
Epoch 15 Training Accuracy: 14.168%
Epoch 16 Training Accuracy: 15.084%
Epoch 17 Training Accuracy: 16.314%
Epoch 18 Training Accuracy: 17.264%
Epoch 19 Training Accuracy: 18.482%
Epoch 20 Training Accuracy: 19.502%
Epoch 21 Training Accuracy: 20.57%
Epoch 22 Training Accuracy: 21.558%
Epoch 23 Training Accuracy: 22.386%
Epoch 24 Training Accuracy: 23.174%
Epoch 25 Training Accuracy: 24.1%
Epoch 26 Training Accuracy: 24.898%
Epoch 27 Training Accuracy: 25.912%
Epoch 28 Training Accuracy: 26.862%
Epoch 29 Training Accuracy: 27.846%
Epoch 30 Training Accuracy: 28.714%
Epoch 31 Training Accuracy: 29.652%
Epoch 32 Training Accuracy: 30.434%
Epoch 33 Training Accuracy: 31.258%
Epoch 34 Training Accuracy: 32.116%
Epoch 35 Training Accuracy: 32.894%
Epoch 36 Training Accuracy: 33.536%
Epoch 37 Training Accuracy: 34.396%
Epoch 38 Training Accuracy: 35.014%
Epoch 39 Training Accuracy: 35.57%
Epoch 40 Training Accuracy: 36.446%
Epoch 41 Training Accuracy: 37.15%
Epoch 42 Training Accuracy: 37.73%
Epoch 43 Training Accuracy: 38.368%
Epoch 44 Training Accuracy: 39.038%
Epoch 45 Training Accuracy: 39.4%
Epoch 46 Training Accuracy: 40.24%
Epoch 47 Training Accuracy: 40.876%
Epoch 48 Training Accuracy: 41.104%
Epoch 49 Training Accuracy: 42.066%
Epoch 50 Training Accuracy: 42.284%
Epoch 51 Training Accuracy: 43.018%
Epoch 52 Training Accuracy: 43.554%
Epoch 53 Training Accuracy: 44.152%
Epoch 54 Training Accuracy: 44.638%
Epoch 55 Training Accuracy: 45.338%
Epoch 56 Training Accuracy: 45.8%
Epoch 57 Training Accuracy: 46.178%
Epoch 58 Training Accuracy: 46.872%
Epoch 59 Training Accuracy: 47.19%
Epoch 60 Training Accuracy: 47.858%
Epoch 61 Training Accuracy: 48.264%
Epoch 62 Training Accuracy: 48.796%
Epoch 63 Training Accuracy: 49.404%
Epoch 64 Training Accuracy: 50.008%
Epoch 65 Training Accuracy: 50.456%
Epoch 66 Training Accuracy: 50.954%
Epoch 67 Training Accuracy: 51.274%
Epoch 68 Training Accuracy: 51.794%
Epoch 69 Training Accuracy: 52.4%
Epoch 70 Training Accuracy: 52.878%
Epoch 71 Training Accuracy: 53.63%
Epoch 72 Training Accuracy: 54.052%
Epoch 73 Training Accuracy: 54.196%
Epoch 74 Training Accuracy: 54.788%
Epoch 75 Training Accuracy: 55.122%
Epoch 76 Training Accuracy: 55.6%
Epoch 77 Training Accuracy: 56.436%
Epoch 78 Training Accuracy: 56.73%
Epoch 79 Training Accuracy: 57.19%
Epoch 80 Training Accuracy: 57.71%
Epoch 81 Training Accuracy: 57.97%
Epoch 82 Training Accuracy: 58.734%
Epoch 83 Training Accuracy: 59.184%
Epoch 84 Training Accuracy: 59.444%
Epoch 85 Training Accuracy: 59.796%
Epoch 86 Training Accuracy: 60.414%
Epoch 87 Training Accuracy: 61.0%
Epoch 88 Training Accuracy: 61.07%
Epoch 89 Training Accuracy: 61.388%
Epoch 90 Training Accuracy: 62.358%
Epoch 91 Training Accuracy: 62.724%
Epoch 92 Training Accuracy: 62.718%
Epoch 93 Training Accuracy: 63.706%
Epoch 94 Training Accuracy: 64.03%
Epoch 95 Training Accuracy: 64.038%
Epoch 96 Training Accuracy: 64.616%
Epoch 97 Training Accuracy: 65.422%
Epoch 98 Training Accuracy: 65.326%
Epoch 99 Training Accuracy: 65.924%
Epoch 100 Training Accuracy: 66.408%
Finished Training
Training Time : 1401.7940216064453
Final Training Loss: 1.1976643928786372
Final Training Accuracy: 66.408%
Memory used for training: 2193064 Bytes
Saving the model as CNN_CIFAR100_100_4GPUs.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified
Test Accuracy: 38.74%
Test Loss: 2.9088406774062143
