cuda:0
Files already downloaded and verified
Files already downloaded and verified
Epoch 1 Training Accuracy: 5.422%
Epoch 2 Training Accuracy: 11.286%
Epoch 3 Training Accuracy: 15.386%
Epoch 4 Training Accuracy: 19.06%
Epoch 5 Training Accuracy: 22.236%
Epoch 6 Training Accuracy: 25.482%
Epoch 7 Training Accuracy: 28.594%
Epoch 8 Training Accuracy: 31.754%
Epoch 9 Training Accuracy: 35.21%
Epoch 10 Training Accuracy: 38.588%
Epoch 11 Training Accuracy: 42.166%
Epoch 12 Training Accuracy: 45.524%
Epoch 13 Training Accuracy: 49.118%
Epoch 14 Training Accuracy: 52.626%
Epoch 15 Training Accuracy: 56.9%
Epoch 16 Training Accuracy: 60.654%
Epoch 17 Training Accuracy: 64.294%
Epoch 18 Training Accuracy: 68.642%
Epoch 19 Training Accuracy: 71.07%
Epoch 20 Training Accuracy: 74.756%
Epoch 21 Training Accuracy: 77.762%
Epoch 22 Training Accuracy: 80.268%
Epoch 23 Training Accuracy: 83.358%
Epoch 24 Training Accuracy: 84.952%
Epoch 25 Training Accuracy: 86.834%
Epoch 26 Training Accuracy: 88.3%
Epoch 27 Training Accuracy: 88.758%
Epoch 28 Training Accuracy: 90.088%
Epoch 29 Training Accuracy: 91.04%
Epoch 30 Training Accuracy: 91.594%
Epoch 31 Training Accuracy: 92.382%
Epoch 32 Training Accuracy: 92.642%
Epoch 33 Training Accuracy: 93.294%
Epoch 34 Training Accuracy: 93.806%
Epoch 35 Training Accuracy: 94.452%
Epoch 36 Training Accuracy: 95.06%
Epoch 37 Training Accuracy: 95.402%
Epoch 38 Training Accuracy: 96.112%
Epoch 39 Training Accuracy: 96.336%
Epoch 40 Training Accuracy: 96.718%
Epoch 41 Training Accuracy: 97.002%
Epoch 42 Training Accuracy: 97.154%
Epoch 43 Training Accuracy: 97.01%
Epoch 44 Training Accuracy: 96.592%
Epoch 45 Training Accuracy: 96.972%
Epoch 46 Training Accuracy: 97.318%
Epoch 47 Training Accuracy: 97.708%
Epoch 48 Training Accuracy: 97.522%
Epoch 49 Training Accuracy: 97.8%
Epoch 50 Training Accuracy: 98.092%
Epoch 51 Training Accuracy: 98.198%
Epoch 52 Training Accuracy: 98.35%
Epoch 53 Training Accuracy: 98.524%
Epoch 54 Training Accuracy: 98.26%
Epoch 55 Training Accuracy: 98.69%
Epoch 56 Training Accuracy: 98.814%
Epoch 57 Training Accuracy: 98.722%
Epoch 58 Training Accuracy: 98.704%
Epoch 59 Training Accuracy: 99.032%
Epoch 60 Training Accuracy: 99.098%
Epoch 61 Training Accuracy: 99.28%
Epoch 62 Training Accuracy: 99.296%
Epoch 63 Training Accuracy: 99.322%
Epoch 64 Training Accuracy: 99.102%
Epoch 65 Training Accuracy: 98.986%
Epoch 66 Training Accuracy: 99.172%
Epoch 67 Training Accuracy: 99.118%
Epoch 68 Training Accuracy: 99.226%
Epoch 69 Training Accuracy: 99.138%
Epoch 70 Training Accuracy: 98.962%
Epoch 71 Training Accuracy: 99.054%
Epoch 72 Training Accuracy: 98.952%
Epoch 73 Training Accuracy: 99.08%
Epoch 74 Training Accuracy: 99.128%
Epoch 75 Training Accuracy: 99.176%
Epoch 76 Training Accuracy: 99.13%
Epoch 77 Training Accuracy: 99.022%
Epoch 78 Training Accuracy: 98.632%
Epoch 79 Training Accuracy: 98.876%
Epoch 80 Training Accuracy: 99.062%
Epoch 81 Training Accuracy: 99.06%
Epoch 82 Training Accuracy: 99.058%
Epoch 83 Training Accuracy: 99.032%
Epoch 84 Training Accuracy: 98.994%
Epoch 85 Training Accuracy: 98.946%
Epoch 86 Training Accuracy: 98.966%
Epoch 87 Training Accuracy: 99.284%
Epoch 88 Training Accuracy: 99.316%
Epoch 89 Training Accuracy: 99.184%
Epoch 90 Training Accuracy: 99.088%
Epoch 91 Training Accuracy: 99.44%
Epoch 92 Training Accuracy: 99.224%
Epoch 93 Training Accuracy: 99.412%
Epoch 94 Training Accuracy: 99.434%
Epoch 95 Training Accuracy: 99.512%
Epoch 96 Training Accuracy: 99.498%
Epoch 97 Training Accuracy: 99.324%
Epoch 98 Training Accuracy: 99.104%
Epoch 99 Training Accuracy: 99.27%
Epoch 100 Training Accuracy: 99.356%
Finished Training
Training Time : 2893.4155786037445
Final Training Loss: 0.022603923825266034
Final Training Accuracy: 99.356%
Memory used for training: 2266135 Bytes
Saving the model as ResNet_CIFAR100_100_2GPUs.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified
Test Accuracy: 31.43%
Test Loss: 5.732811864014644
